slse,selesai
slu,selalu
sm,sama
ampe,sampai
sampe,sampai
smg,semoga
smngt,semangat
smp,sampai
smpai,sampai
smpe,sampai
smt,semester
smtr,semester
smua,semua
smw,semua
snang,senang
sndri,sendiri
snen,senin
sneng,senang
sng,senang
sngt,sangat
snin,senin
snyum,senyum
sono ,sana
sp,siapa
spa,siapa
sprti,seperti
spt,seperti
spti,seperti
spy,supaya
srt,surat
ssh,susah
sumpe,sumpah
surt,surat
sush,susah
sy,saya
sya,saya
syp,siapa
t4,tempat
tauladan,teladan
tbh,tubuh
td,tadi
tdi,tadi
tdk,tidak
tdr,tidur
tgas,tugas
tgl,tanggal
tgs,tugas
thn,tahun
thx,terima kasih
tnx,terima kasih
ti2,hati-hati
tidk,tidak
tinggl,tinggal
titi,hati-hati
tlg,tolong
tlng,tolong
tmn,teman
tmpt,tempat
tnggl,tanggal
tnp,tanpa
tny,tanya
tnya,tanya
toladan,teladan
tp,tapi
trims,terima kasih
trs,terus
trus,terus
ttp,tetap
ttp ,tetap
tu,itu
tu2p,tutup
tugs,tugas
tuk,untuk
tw,tahu
uda,sudah
udh,sudah
utk,untuk
ntuk,untuk
wkwkwk,tawa
wnt,wanita
wrn,warna
wrna,warna
color,warna
colour,warna
white,putih
grey,abu
brown,coklat
blue,biru
x,kali
xixixi,tertawa
y,kenapa
yg,yang
yng,yang
yukz,ayo
yups,ya
z,aja
7an,tujuan
smpt,sempat
wkwk,tertawa
ak,saya
yap,iya
doi,dia
5f,maaf
mav,maaf
mf,maaf
wlpn,walaupun
walo,walau
se7,setuju
sprt,seperti
nntn,nonton
mna,mana
mn,mana
@,di
ababil,abg labil
abis,habis
acc,accord
ad,ada
adlah,adalah
adlh,adalah
adoh,aduh
afaik,as far as i know
aha,tertawa
ahaha,haha
aing,saya
aja,saja
ajep-ajep,dunia gemerlap
ajj,saja
aka,dikenal juga sebagai
akika,aku
akko,aku
akkoh,aku
akku,aku
akuwh,aku
akyu,aku
alay,norak
aljasa,asal jadi saja
alow,halo
ama,sama
ambilin,ambilkan
ambl,ambil
ancur,hancur
anjir,anjing
anjrit,anjing
anter,antar
ap2,apa-apa
apaan,apa
apasih,apa sih
ape,apa
apes,sial
aplot,unggah
aps,apa
apva,apa
aquwh,aku
asap,sesegera mungkin
asbun,asal bunyi
aseek,asyik
aseekk,asyik
asekk,asyik
aseknya,asyiknya
asem,asam
asoy,asyik
aspal,asli tetapi palsu
astrojim,astagfirullahaladzim
astul,asal tulis
ath,kalau begitu
atuh,kalau begitu
au ah,tidak mau tahu
ava,avatar
awak,saya
aws,awas
ay,sayang
ayank,sayang
b4,sebelum
bacot,banyak bicara
bakalan,akan
bandes,bantuan desa
bangdes,pembangunan desa
bangedh,banget
bangkotan,tua
banpol,bantuan polisi
banpres,bantuan presiden
banpur,bantuan tempur
bansarkas,bantuan sarana kesehatan
basbang,basi
"bazis,""badan amal,zakat,infak,dan sedekah"""
bcanda,bercanda
bcoz,karena
bdg,bandung
beb,sayang
begajulan,nakal
bejibun,banyak
beliin,belikan
belom,belum
bencong,banci
bener,benar
bentar,sebentar
ber2,berdua
ber3,bertiga
berdikari,berdiri di atas kaki sendiri
beresin,membereskan
bet,banget
bete,bosan
beti,beda tipis
beud,banget
beut,banget
bgd,banget
bhubu,tidur
bijimane,bagaimana
bimbuluh,bimbingan dan penyuluhan
bintal,bimbingan mental
bisi,kalau-kalau
bkl,akan
bknnya,bukannya
bl,beli
blegug,bodoh
blg,bilang
bnchi,benci
bnci,benci
bngung,bingung
bnran,yang benar
bodor,lucu
bohay,badan aduhai
bokap,ayah
bokep,video porno
boker,buang air besar
bokin,pacar
bokis,bohong
bole,boleh
boljug,boleh juga
bolot,bodoh
bonek,bocah nekat
bonyok,ayah ibu
boyeh,boleh
br,baru
brb,segera kembali
brngkt,berangkat
bro,saudara laki-laki
bru,baru
brur,saudara laki-laki
bsen,bosan
bt,buat
btw,ngomong-ngomong
bu_bu,tidur
buaya,tidak setia
bubarin,bubarkan
bubbu,tidur
buber,buka bersama
bubu,tidur
bujubune,luar biasa
bumil,ibu hamil
buser,buru sergap
bwhn,bawahan
byar,bayar
byr,bayar
byrin,bayarkan
c8,chat
cabal,sabar
cabut,pergi
cadas,keren
caem,cakep
calo,makelar
cama-cama,sama-sama
can,belum
cangcut,celana dalam
capcus,pergi
caper,cari perhatian
caur,jelek
cekak,tidak ada uang
cekal,cegah tangkal
cekidot,coba lihat
cemen,penakut
cemplungin,cemplungkan
cengengesan,tertawa
ceper,pendek
ceu,kakak perempuan
cewe,cewek
chuyunk,sayang
cibuk,sibuk
cimeng,ganja
cin,cinta
cipika cipiki,cium pipi kanan cium pipi kiri
ciye,cie
ciyh,sih
ckck,ck
ckepp,cakep
clbk,cinta lama bersemi kembali
cmiiw,correct me if i'm wrong
cmpr,campur
cmpur,campur
cnenk,senang
cong,banci
congor,mulut
conlok,cinta lokasi
cow,cowok
cowwyy,maaf
coz,karena
cpa,siapa
cpe,capek
cppa,siapa
cppe,capek
cucok,cocok
cuek,tidak acuh
cuex,cuek
cuman,Cuma
cumi,Cuma miscall
cungkring,kurus tinggi
cups,culun
cupu,culun
curanmor,pencurian kendaraan bermotor
curas,pencurian dengan kekerasan
curcol,curahan hati colongan
curhat,curahan hati
cwek,cewek
cwok,cowok
cyin,cinta
cz,karena
d,di
dagh,sudah
dah,sudah
damang,sehat
dapet,dapat
dateng,datang
de,adik
dech,deh
dek,adik
deket,dekat
demen,suka
dengerin,dengarkan
deyh,deh
dh,deh
diancurin,dihancurkan
digosipin,digosipkan
dimaafin,dimaafkan
dimana2,dimana-mana
dimintak,diminta
dimna,dimana
disono,di sana
diuber,dikejar
dkit,sedikit
dkk,dan kawan-kawan
dl,dulu
dlu,dulu
dmn,dimana
dngn,dengan
doang,saja
dodol,bodoh
doku,uang
don juan,playboy
dongs,dong
donlot,unduh
dr,dari
dri,dari
drmana,darimana
drmn,darimana
drpd,daripada
drtd,dari tadi
dst,dan seterusnya
dstu,disitu
dugem,dunia gemerlap
duh,aduh
duit,uang
duren,durian
dy,dia
ed,edisi
edan,gila
egp,emang gue pikirin
eike,aku
eke,aku
emang,memang
emangnya,memangnya
emte,makan teman
endak,tidak
engga,tidak
enggak,tidak
entar,nanti
envy,iri
etc,et cetera
ex,mantan
ext,extension
fax,facsimile
fb,facebook
fifo,first in first out
finek,finansial ekonomi
folbek,follow back
fwd,diterukan
fyi,sebagai informasi
gaada,tidak ada uang
gabisa,tidak bisa
gag,tidak
gahar,sangar
gaje,tidak jelas
gak papa,tidak apa-apa
gamau,tidak mau
gan,juragan
gaptek,gagap teknologi
gatau,tidak tahu
gatek,gagap teknologi
gatot,gagal total
gawe,kerja
gax,tidak
gbs,tidak bisa
gda,tidak ada uang
gebetan,orang yang disuka
geer,gede rasa
geje,tidak jelas
gelo,gila
gepeng,gelandangan dan pengemis
ghiey,lagi
ghiy,lagi
gi,lagi
gile,gila
giman,gigi mancung
gimana,bagaimana
gino,gigi nongol
githu,gitu
gj,tidak jelas
gmana,bagaimana
goblog,goblok
goblok,bodoh
gokil,gila
golput,golongan putih
gombal,suka merayu
gowes,mengayuh sepeda
gpl,tidak pakai lama
gpny,tidak punya
gr,gede rasa
gretong,gratis
gretongan,gratisan
gtau,tidak tahu
gtw,tidak tahu
gue,saya
guoblok,goblok
guys,teman-teman
gws,cepat sembuh
ha,tertawa
haghaghag,tertawa
hakhak,tertawa
hallow,halo
handak,bahan peledak
hankam,pertahanan dan keamanan
hansip,pertahanan sipil
hellow,halo
helo,halo
helow,halo
hey,hai
hi,hai
hlm,halaman
hlng,hilang
hny,hanya
hnya,hanya
hoax,isu bohong
houm,rumah
hrs,harus
hrus,harus
hubad,hubungan angkatan darat
hubdar,perhubungan darat
hubla,perhubungan laut
huff,mengeluh
huft,mengeluh
hum,rumah
humas,hubungan masyarakat
humz,rumah
idk,saya tidak tahu
ilang,hilang
ilfeel,tidak suka
